"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"February 28","@Unbrush #unbrush #unbrushplus #unbrushhairbrush ","https://www.tiktok.com/@haileytupy2.0/video/7527623000473079054","July 16","533","32","16","191265"
"February 28","BUXOM  PLUMPING LIP GLOSS","https://www.tiktok.com/@haileytupy2.0/video/7546034661705796877","September 3","109","7","31","154414"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7531345990947851551","July 26","1837","50","6","30504"
"February 28","Sometimes, it's not about blood – it's about peace. Protect your heart, protect your family. 💔 #SelfCare #FamilyBoundaries #MentalHealthMatters #fatherdaughter #nocontact ","https://www.tiktok.com/@haileytupy2.0/video/7491033674700328235","April 8","1354","18","184","23673"
"February 28","GLOSSIER YOU BUNDLE 🚨OVER 20% OFF + FREE SHIP🚨","https://www.tiktok.com/@haileytupy2.0/video/7590117423970258206","December 31","3","0","0","17266"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨DOUBLE DISCOUNT🚨","https://www.tiktok.com/@haileytupy2.0/video/7575353922521500983","November 21","62","2","11","20149"
"February 28","These Owala cups are truly the best kids cups I’ve come across!  #owala #owalawaterbottle #owalakids #owalakidstumbler ","https://www.tiktok.com/@haileytupy2.0/video/7498342684814347551","April 28","57","2","11","13332"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨BACK IN STOCK🚨 🚨ON SALE🚨","https://www.tiktok.com/@haileytupy2.0/video/7579215527206276383","December 2","53","1","9","23807"
"February 28","These were the shoes that broke the internet last winter. I remember constantly refreshing, hoping they'd restock. Not this year. I’m grabbing them early while they’re on sale and ship free. Cozy, warm, and actually cute? Say less. #wintershoes #TikTokMadeMeBuyIt #cozyfinds #moccasinseason #viralshoes #tiktokshopfinds #winterfashion #DealsForYouDays","https://www.tiktok.com/@haileytupy2.0/video/7519542006058667278","June 24","46","2","4","10382"
"February 28","SALTAIR REVIVE &  HYDRATE BUNDLE 🚨DOUBLE DISCOUNT🚨","https://www.tiktok.com/@haileytupy2.0/video/7585686914447969567","December 19","13","0","0","11445"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7598683574904130871","January 23","3","0","0","14273"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7598755131458374967","January 23","7","0","1","11145"
