"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"February 28","@Unbrush #unbrush #unbrushplus #unbrushhairbrush ","https://www.tiktok.com/@haileytupy2.0/video/7527623000473079054","July 16","533","32","16","191265"
"February 28","BUXOM  PLUMPING LIP GLOSS","https://www.tiktok.com/@haileytupy2.0/video/7546034661705796877","September 3","109","7","31","154414"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7531345990947851551","July 26","1837","50","6","30504"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨BACK IN STOCK🚨 🚨ON SALE🚨","https://www.tiktok.com/@haileytupy2.0/video/7579215527206276383","December 2","53","1","9","23807"
"February 28","Sometimes, it's not about blood – it's about peace. Protect your heart, protect your family. 💔 #SelfCare #FamilyBoundaries #MentalHealthMatters #fatherdaughter #nocontact ","https://www.tiktok.com/@haileytupy2.0/video/7491033674700328235","April 8","1354","18","184","23673"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨DOUBLE DISCOUNT🚨","https://www.tiktok.com/@haileytupy2.0/video/7575353922521500983","November 21","62","2","11","20149"
"February 28","GLOSSIER YOU BUNDLE 🚨OVER 20% OFF + FREE SHIP🚨","https://www.tiktok.com/@haileytupy2.0/video/7590117423970258206","December 31","3","0","0","17266"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7598683574904130871","January 23","3","0","0","14273"
"February 28","These Owala cups are truly the best kids cups I’ve come across!  #owala #owalawaterbottle #owalakids #owalakidstumbler ","https://www.tiktok.com/@haileytupy2.0/video/7498342684814347551","April 28","57","2","11","13332"
"February 28","PETER THOMAS ROTH TRAVEL KIT 🚨TRIPLE DISCOUNT🚨","https://www.tiktok.com/@haileytupy2.0/video/7558675009711901966","October 7","26","1","7","13313"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨BACK IN STOCK🚨 🚨ON SALE🚨","https://www.tiktok.com/@haileytupy2.0/video/7589576040226262285","December 30","2","0","0","12112"
"February 28","SALTAIR HYALURONIC  ACID BODY SERUM 2 PACK 🚨TRIPLE DISCOUNT🚨","https://www.tiktok.com/@haileytupy2.0/video/7602008805399940407","February 1","3","0","0","11564"
"February 28","This robot vacuum takes away the mental load of the closing shift.  #tiktokshop #tiktokshopmusthaves #tiktokshopfinds #robotvaccuum #robotvacuumcleaner #robotvac #roborock ","https://www.tiktok.com/@haileytupy2.0/video/7496081920573328683","April 22","21","4","0","11489"
