"Date","Followers","Difference in followers from previous day"
"February 28","undefined","0"
"March 1","undefined","0"
"March 2","undefined","0"
"March 3","undefined","0"
"March 4","undefined","0"
"March 5","undefined","0"
"March 6","undefined","0"
"March 7","undefined","0"
"March 8","undefined","0"
"March 9","undefined","0"
"March 10","undefined","0"
"March 11","undefined","0"
"March 12","undefined","0"
"March 13","undefined","0"
"March 14","undefined","0"
"March 15","undefined","0"
"March 16","undefined","0"
"March 17","undefined","0"
"March 18","undefined","0"
"March 19","undefined","0"
"March 20","undefined","0"
"March 21","undefined","0"
"March 22","undefined","0"
"March 23","undefined","0"
"March 24","undefined","0"
"March 25","37","0"
"March 26","152","115"
"March 27","278","126"
"March 28","450","172"
"March 29","605","155"
"March 30","733","128"
"March 31","844","111"
"April 1","975","131"
"April 2","1030","55"
"April 3","1042","12"
"April 4","1068","26"
"April 5","1086","18"
"April 6","1161","75"
"April 7","1196","35"
"April 8","1213","17"
"April 9","1223","10"
"April 10","1223","0"
"April 11","1229","6"
"April 12","1241","12"
"April 13","1249","8"
"April 14","1252","3"
"April 15","1252","0"
"April 16","1272","20"
"April 17","1304","32"
"April 18","1324","20"
"April 19","1337","13"
"April 20","1372","35"
"April 21","1432","60"
"April 22","1472","40"
"April 23","1503","31"
"April 24","1522","19"
"April 25","1560","38"
"April 26","1591","31"
"April 27","1639","48"
"April 28","1662","23"
"April 29","1706","44"
"April 30","1727","21"
"May 1","1759","32"
"May 2","1774","15"
"May 3","1778","4"
"May 4","1780","2"
"May 5","1784","4"
"May 6","1799","15"
"May 7","1811","12"
"May 8","1851","40"
"May 9","1871","20"
"May 10","1891","20"
"May 11","1915","24"
"May 12","1947","32"
"May 13","1989","42"
"May 14","2020","31"
"May 15","2044","24"
"May 16","2063","19"
"May 17","2096","33"
"May 18","2127","31"
"May 19","2160","33"
"May 20","2173","13"
"May 21","2207","34"
"May 22","2228","21"
"May 23","2231","3"
"May 24","2245","14"
"May 25","2274","29"
"May 26","2298","24"
"May 27","2299","1"
"May 28","2310","11"
"May 29","2340","30"
"May 30","2401","61"
"May 31","2429","28"
"June 1","2446","17"
"June 2","2492","46"
"June 3","2517","25"
"June 4","2527","10"
"June 5","2541","14"
"June 6","2573","32"
"June 7","2582","9"
"June 8","2588","6"
"June 9","2593","5"
"June 10","2613","20"
"June 11","2634","21"
"June 12","2670","36"
"June 13","2677","7"
"June 14","2692","15"
"June 15","2713","21"
"June 16","2735","22"
"June 17","2780","45"
"June 18","2802","22"
"June 19","2827","25"
"June 20","2834","7"
"June 21","2856","22"
"June 22","2863","7"
"June 23","2876","13"
