"Date","Video Views","Profile Views","Likes","Comments","Shares"
"February 28","0","0","0","0","0"
"March 1","0","0","0","0","0"
"March 2","0","0","0","0","0"
"March 3","0","0","0","0","0"
"March 4","0","0","0","0","0"
"March 5","0","0","0","0","0"
"March 6","0","0","0","0","0"
"March 7","0","0","0","0","0"
"March 8","0","0","0","0","0"
"March 9","0","0","0","0","0"
"March 10","0","0","0","0","0"
"March 11","0","0","0","0","0"
"March 12","0","0","0","0","0"
"March 13","0","0","0","0","0"
"March 14","0","0","0","0","0"
"March 15","0","0","0","0","0"
"March 16","0","0","0","0","0"
"March 17","0","0","0","0","0"
"March 18","0","0","0","0","0"
"March 19","0","0","0","0","0"
"March 20","0","0","0","0","0"
"March 21","0","0","0","0","0"
"March 22","0","0","0","0","0"
"March 23","0","0","0","0","0"
"March 24","0","0","0","0","0"
"March 25","6","33","0","0","0"
"March 26","848","50","72","12","2"
"March 27","848","82","77","6","3"
"March 28","739","75","112","20","2"
"March 29","1396","72","158","15","1"
"March 30","749","68","84","9","0"
"March 31","10355","89","327","15","19"
"April 1","3057","86","188","50","6"
"April 2","2157","60","184","19","3"
"April 3","1541","27","142","5","3"
"April 4","19605","72","375","64","12"
"April 5","19779","59","160","52","7"
"April 6","18383","89","258","57","5"
"April 7","3265","46","191","22","5"
"April 8","11136","46","312","56","15"
"April 9","3211","32","108","16","3"
"April 10","1795","18","151","18","3"
"April 11","1558","32","155","13","8"
"April 12","11766","47","205","23","11"
"April 13","803","11","73","19","2"
"April 14","5859","22","115","18","2"
"April 15","8209","28","186","33","6"
"April 16","11907","46","246","36","9"
"April 17","7255","46","191","27","6"
"April 18","4051","33","105","27","9"
"April 19","7607","34","329","33","8"
"April 20","8040","35","156","6","7"
"April 21","3247","60","118","21","5"
"April 22","6381","47","148","25","2"
"April 23","3164","36","129","48","6"
"April 24","8145","35","132","22","3"
"April 25","7099","28","201","18","14"
"April 26","10811","60","284","46","8"
"April 27","8575","56","173","33","14"
"April 28","2533","31","168","29","8"
"April 29","7119","54","197","55","12"
"April 30","16353","74","344","86","14"
"May 1","8808","108","280","77","18"
"May 2","3026","36","126","25","5"
"May 3","2360","41","100","21","6"
"May 4","1928","20","48","20","6"
"May 5","3991","12","92","12","2"
