"Date","Total Viewers","New Viewers","Returning Viewers"
"February 28","undefined","0","0"
"March 1","undefined","0","0"
"March 2","undefined","0","0"
"March 3","undefined","0","0"
"March 4","undefined","0","0"
"March 5","undefined","0","0"
"March 6","undefined","0","0"
"March 7","undefined","0","0"
"March 8","undefined","0","0"
"March 9","undefined","0","0"
"March 10","undefined","0","0"
"March 11","undefined","0","0"
"March 12","undefined","0","0"
"March 13","undefined","0","0"
"March 14","undefined","0","0"
"March 15","undefined","0","0"
"March 16","undefined","0","0"
"March 17","undefined","0","0"
"March 18","undefined","0","0"
"March 19","undefined","0","0"
"March 20","undefined","0","0"
"March 21","undefined","0","0"
"March 22","undefined","0","0"
"March 23","undefined","0","0"
"March 24","undefined","0","0"
"March 25","3","3","0"
"March 26","713","711","2"
"March 27","649","624","25"
"March 28","660","635","25"
"March 29","1138","1090","48"
"March 30","518","456","62"
"March 31","9646","9579","67"
"April 1","2495","2361","134"
"April 2","1680","1525","155"
"April 3","1154","1045","109"
"April 4","17180","16582","598"
"April 5","17498","15861","1637"
"April 6","16251","13896","2355"
"April 7","2502","2183","319"
"April 8","9630","8122","1508"
"April 9","2795","2232","563"
"April 10","1442","1154","288"
"April 11","1262","963","299"
"April 12","10675","8671","2004"
"April 13","677","459","218"
"April 14","5503","3549","1954"
"April 15","7336","5683","1653"
"April 16","10639","8114","2525"
"April 17","9452","7085","2367"
"April 18","3548","2188","1360"
"April 19","6930","5012","1918"
"April 20","7404","5152","2252"
"April 21","2790","1987","803"
"April 22","6472","4852","1620"
"April 23","5835","4359","1476"
"April 24","2613","2080","533"
"April 25","7214","5525","1689"
"April 26","6375","5225","1150"
"April 27","9375","7567","1808"
"April 28","7889","6176","1713"
"April 29","2031","1748","283"
"April 30","6178","4827","1351"
"May 1","14435","11662","2773"
"May 2","7051","5423","1628"
"May 3","2606","2256","350"
"May 4","2001","1600","401"
"May 5","1642","1333","309"
"May 6","3528","2550","978"
"May 7","4806","3737","1069"
"May 8","1959","1577","382"
"May 9","2307","1948","359"
"May 10","1681","1425","256"
"May 11","742","630","112"
"May 12","967","767","200"
"May 13","3164","2864","300"
"May 14","3936","3571","365"
"May 15","2955","2708","247"
"May 16","4985","4370","615"
"May 17","2700","2277","423"
"May 18","5919","4917","1002"
"May 19","2690","2089","601"
"May 20","3009","2438","571"
"May 21","7670","6856","814"
"May 22","2403","2055","348"
"May 23","7804","6745","1059"
"May 24","2469","2161","308"
"May 25","2545","2005","540"
"May 26","6241","5374","867"
"May 27","7956","6869","1087"
"May 28","4290","3812","478"
"May 29","1581","1393","188"
"May 30","925","796","129"
"May 31","1183","983","200"
"June 1","1424","1249","175"
"June 2","1541","1378","163"
"June 3","2499","2172","327"
"June 4","1895","1641","254"
"June 5","2088","1830","258"
"June 6","1668","1532","136"
"June 7","1847","1677","170"
"June 8","2615","2285","330"
"June 9","2333","2020","313"
"June 10","1652","1309","343"
"June 11","1499","1157","342"
"June 12","2036","1677","359"
"June 13","1127","895","232"
"June 14","991","801","190"
"June 15","2029","1900","129"
"June 16","10506","9406","1100"
"June 17","1409","1132","277"
"June 18","4464","3437","1027"
"June 19","6014","4509","1505"
"June 20","6504","4905","1599"
"June 21","13892","13261","631"
"June 22","28508","27644","864"
"June 23","11202","10610","592"
"June 24","2935","2500","435"
"June 25","4101","3552","549"
"June 26","3636","3167","469"
"June 27","1637","1458","179"
"June 28","2636","2422","214"
"June 29","2610","2401","209"
"June 30","3849","3585","264"
"July 1","2125","1737","388"
